Sample,Photo,Cells,Treatment,Time,Experiment,Cells_mL_gen,Cells_mL_sci
C1T0,C1T0_1,108,Control,Start,Control Start,283553.88,2.84E+05
C1T0,C1T0_2,163,Control,Start,Control Start,427956.31,4.28E+05
C1T0,C1T0_3,174,Control,Start,Control Start,456836.8,4.57E+05
C1T0,C1T0_4,213,Control,Start,Control Start,559231.25,5.59E+05
C1T0,C1T0_5,187,Control,Start,Control Start,490968.28,4.91E+05
C1T0,C1T0_6,171,Control,Start,Control Start,448960.3,4.49E+05
C1T0,C1T0_7,215,Control,Start,Control Start,564482.25,5.64E+05
C1T0,C1T0_8,232,Control,Start,Control Start,609115.73,6.09E+05
C1T0,C1T0_9,216,Control,Start,Control Start,567107.75,5.67E+05
C1T0,C1T0_10,228,Control,Start,Control Start,598613.74,5.99E+05
C1T0,C1T0_11,248,Control,Start,Control Start,651123.71,6.51E+05
C1T0,C1T0_12,205,Control,Start,Control Start,538227.26,5.38E+05
C1T0,C1T0_13,229,Control,Start,Control Start,601239.24,6.01E+05
C1T0,C1T0_14,249,Control,Start,Control Start,653749.21,6.54E+05
C1T0,C1T0_15,206,Control,Start,Control Start,540852.76,5.41E+05
C3T0,C3T0_1,141,Control,Start,Control Start,370195.34,3.70E+05
C3T0,C3T0_2,177,Control,Start,Control Start,464713.3,4.65E+05
C3T0,C3T0_3,179,Control,Start,Control Start,469964.29,4.70E+05
C3T0,C3T0_4,164,Control,Start,Control Start,430581.81,4.31E+05
C3T0,C3T0_5,160,Control,Start,Control Start,420079.82,4.20E+05
C3T0,C3T0_6,158,Control,Start,Control Start,414828.82,4.15E+05
C3T0,C3T0_7,167,Control,Start,Control Start,438458.31,4.38E+05
C3T0,C3T0_8,179,Control,Start,Control Start,469964.29,4.70E+05
C3T0,C3T0_9,311,Control,Start,Control Start,816530.14,8.17E+05
C3T0,C3T0_10,172,Control,Start,Control Start,451585.8,4.52E+05
C3T0,C3T0_11,160,Control,Start,Control Start,420079.82,4.20E+05
C3T0,C3T0_12,149,Control,Start,Control Start,391199.33,3.91E+05
C3T0,C3T0_13,134,Control,Start,Control Start,351816.85,3.52E+05
C3T0,C3T0_14,153,Control,Start,Control Start,401701.32,4.02E+05
C3T0,C3T0_15,173,Control,Start,Control Start,454211.3,4.54E+05
E1T0,E1T0_1,161,Mussel,Start,Mussel Start,422705.31,4.23E+05
E1T0,E1T0_2,186,Mussel,Start,Mussel Start,488342.79,4.88E+05
E1T0,E1T0_3,195,Mussel,Start,Mussel Start,511972.27,5.12E+05
E1T0,E1T0_4,193,Mussel,Start,Mussel Start,506721.28,5.07E+05
E1T0,E1T0_5,221,Mussel,Start,Mussel Start,580235.24,5.80E+05
E1T0,E1T0_6,194,Mussel,Start,Mussel Start,509346.78,5.09E+05
E1T0,E1T0_7,200,Mussel,Start,Mussel Start,525099.77,5.25E+05
E1T0,E1T0_8,210,Mussel,Start,Mussel Start,551354.76,5.51E+05
E1T0,E1T0_9,209,Mussel,Start,Mussel Start,548729.26,5.49E+05
E1T0,E1T0_10,170,Mussel,Start,Mussel Start,446334.8,4.46E+05
E1T0,E1T0_11,250,Mussel,Start,Mussel Start,656374.71,6.56E+05
E1T0,E1T0_12,188,Mussel,Start,Mussel Start,493593.78,4.94E+05
E1T0,E1T0_13,216,Mussel,Start,Mussel Start,567107.75,5.67E+05
E1T0,E1T0_14,224,Mussel,Start,Mussel Start,588111.74,5.88E+05
E1T0,E1T0_15,188,Mussel,Start,Mussel Start,493593.78,4.94E+05
E3T0,E3T0_1,156,Mussel,Start,Mussel Start,409577.82,4.10E+05
E3T0,E3T0_2,169,Mussel,Start,Mussel Start,443709.3,4.44E+05
E3T0,E3T0_3,160,Mussel,Start,Mussel Start,420079.82,4.20E+05
E3T0,E3T0_4,150,Mussel,Start,Mussel Start,393824.83,3.94E+05
E3T0,E3T0_5,177,Mussel,Start,Mussel Start,464713.3,4.65E+05
E3T0,E3T0_6,219,Mussel,Start,Mussel Start,574984.25,5.75E+05
E3T0,E3T0_7,224,Mussel,Start,Mussel Start,588111.74,5.88E+05
E3T0,E3T0_8,223,Mussel,Start,Mussel Start,585486.24,5.85E+05
E3T0,E3T0_9,188,Mussel,Start,Mussel Start,493593.78,4.94E+05
E3T0,E3T0_10,187,Mussel,Start,Mussel Start,490968.28,4.91E+05
E3T0,E3T0_11,181,Mussel,Start,Mussel Start,475215.29,4.75E+05
E3T0,E3T0_12,158,Mussel,Start,Mussel Start,414828.82,4.15E+05
E3T0,E3T0_13,171,Mussel,Start,Mussel Start,448960.3,4.49E+05
E3T0,E3T0_14,144,Mussel,Start,Mussel Start,378071.83,3.78E+05
E3T0,E3T0_15,83,Mussel,Start,Mussel Start,217916.4,2.18E+05
