Sample,Photo,Pixels,Area,Treatment,Time,Experiment
C1T0,C1T0_15,30,0.133,Control,Start,Control Start
C1T0,C1T0_15,45,0.2,Control,Start,Control Start
C1T0,C1T0_15,216,0.96,Control,Start,Control Start
C1T0,C1T0_15,495,2.2,Control,Start,Control Start
C1T0,C1T0_15,24,0.107,Control,Start,Control Start
C1T0,C1T0_15,15,0.067,Control,Start,Control Start
C1T0,C1T0_15,57,0.253,Control,Start,Control Start
C1T0,C1T0_15,332,1.476,Control,Start,Control Start
C1T0,C1T0_15,53,0.236,Control,Start,Control Start
C1T0,C1T0_15,70,0.311,Control,Start,Control Start
C1T0,C1T0_15,46,0.204,Control,Start,Control Start
C1T0,C1T0_15,69,0.307,Control,Start,Control Start
C1T0,C1T0_15,45,0.2,Control,Start,Control Start
C1T0,C1T0_15,143,0.636,Control,Start,Control Start
C1T0,C1T0_15,30,0.133,Control,Start,Control Start
C1T0,C1T0_15,58,0.258,Control,Start,Control Start
C1T0,C1T0_15,74,0.329,Control,Start,Control Start
C1T0,C1T0_15,140,0.622,Control,Start,Control Start
C1T0,C1T0_15,57,0.253,Control,Start,Control Start
C1T0,C1T0_15,477,2.12,Control,Start,Control Start
C1T0,C1T0_15,11,0.049,Control,Start,Control Start
C1T0,C1T0_15,13,0.058,Control,Start,Control Start
C1T0,C1T0_15,312,1.387,Control,Start,Control Start
C1T0,C1T0_15,433,1.924,Control,Start,Control Start
C1T0,C1T0_15,27,0.12,Control,Start,Control Start
C1T0,C1T0_15,44,0.196,Control,Start,Control Start
C1T0,C1T0_15,15,0.067,Control,Start,Control Start
C1T0,C1T0_15,185,0.822,Control,Start,Control Start
C1T0,C1T0_15,89,0.396,Control,Start,Control Start
C1T0,C1T0_15,88,0.391,Control,Start,Control Start
C1T0,C1T0_15,41,0.182,Control,Start,Control Start
C1T0,C1T0_15,73,0.324,Control,Start,Control Start
C1T0,C1T0_15,77,0.342,Control,Start,Control Start
C1T0,C1T0_15,62,0.276,Control,Start,Control Start
C1T0,C1T0_15,13,0.058,Control,Start,Control Start
C1T0,C1T0_15,112,0.498,Control,Start,Control Start
C1T0,C1T0_15,102,0.453,Control,Start,Control Start
C1T0,C1T0_15,59,0.262,Control,Start,Control Start
C1T0,C1T0_15,396,1.76,Control,Start,Control Start
C1T0,C1T0_15,157,0.698,Control,Start,Control Start
C1T0,C1T0_15,523,2.324,Control,Start,Control Start
C1T0,C1T0_15,436,1.938,Control,Start,Control Start
C1T0,C1T0_15,10,0.044,Control,Start,Control Start
C1T0,C1T0_15,53,0.236,Control,Start,Control Start
C1T0,C1T0_15,56,0.249,Control,Start,Control Start
C1T0,C1T0_15,87,0.387,Control,Start,Control Start
C1T0,C1T0_15,11,0.049,Control,Start,Control Start
C1T0,C1T0_15,169,0.751,Control,Start,Control Start
C1T0,C1T0_15,132,0.587,Control,Start,Control Start
C1T0,C1T0_15,63,0.28,Control,Start,Control Start
C1T0,C1T0_15,102,0.453,Control,Start,Control Start
C1T0,C1T0_15,362,1.609,Control,Start,Control Start
C1T0,C1T0_15,13,0.058,Control,Start,Control Start
C1T0,C1T0_15,82,0.364,Control,Start,Control Start
C1T0,C1T0_15,74,0.329,Control,Start,Control Start
C1T0,C1T0_15,155,0.689,Control,Start,Control Start
C1T0,C1T0_15,491,2.182,Control,Start,Control Start
C1T0,C1T0_15,65,0.289,Control,Start,Control Start
C1T0,C1T0_15,19,0.084,Control,Start,Control Start
C1T0,C1T0_15,231,1.027,Control,Start,Control Start
C1T0,C1T0_15,49,0.218,Control,Start,Control Start
C1T0,C1T0_15,230,1.022,Control,Start,Control Start
C1T0,C1T0_15,22,0.098,Control,Start,Control Start
C1T0,C1T0_15,110,0.489,Control,Start,Control Start
C1T0,C1T0_15,38,0.169,Control,Start,Control Start
C1T0,C1T0_15,52,0.231,Control,Start,Control Start
C1T0,C1T0_15,32,0.142,Control,Start,Control Start
C1T0,C1T0_15,448,1.991,Control,Start,Control Start
C1T0,C1T0_15,576,2.56,Control,Start,Control Start
C1T0,C1T0_15,257,1.142,Control,Start,Control Start
C1T0,C1T0_15,16,0.071,Control,Start,Control Start
C1T0,C1T0_15,20,0.089,Control,Start,Control Start
C1T0,C1T0_15,489,2.173,Control,Start,Control Start
C1T0,C1T0_15,35,0.156,Control,Start,Control Start
C1T0,C1T0_15,159,0.707,Control,Start,Control Start
C1T0,C1T0_15,536,2.382,Control,Start,Control Start
C1T0,C1T0_15,190,0.844,Control,Start,Control Start
C1T0,C1T0_15,26,0.116,Control,Start,Control Start
C1T0,C1T0_15,54,0.24,Control,Start,Control Start
C1T0,C1T0_15,282,1.253,Control,Start,Control Start
C1T0,C1T0_15,13,0.058,Control,Start,Control Start
C1T0,C1T0_15,44,0.196,Control,Start,Control Start
C1T0,C1T0_15,343,1.524,Control,Start,Control Start
C1T0,C1T0_15,72,0.32,Control,Start,Control Start
C1T0,C1T0_15,49,0.218,Control,Start,Control Start
C1T0,C1T0_15,496,2.204,Control,Start,Control Start
C1T0,C1T0_15,271,1.204,Control,Start,Control Start
C1T0,C1T0_15,54,0.24,Control,Start,Control Start
C1T0,C1T0_15,100,0.444,Control,Start,Control Start
C1T0,C1T0_15,12,0.053,Control,Start,Control Start
C1T0,C1T0_15,138,0.613,Control,Start,Control Start
C1T0,C1T0_15,77,0.342,Control,Start,Control Start
C1T0,C1T0_15,286,1.271,Control,Start,Control Start
C1T0,C1T0_15,49,0.218,Control,Start,Control Start
C1T0,C1T0_15,26,0.116,Control,Start,Control Start
C1T0,C1T0_15,11,0.049,Control,Start,Control Start
C1T0,C1T0_15,285,1.267,Control,Start,Control Start
C1T0,C1T0_15,63,0.28,Control,Start,Control Start
C1T0,C1T0_15,402,1.787,Control,Start,Control Start
C1T0,C1T0_15,96,0.427,Control,Start,Control Start
C1T0,C1T0_15,43,0.191,Control,Start,Control Start
C1T0,C1T0_15,24,0.107,Control,Start,Control Start
C1T0,C1T0_15,11,0.049,Control,Start,Control Start
C1T0,C1T0_15,82,0.364,Control,Start,Control Start
C1T0,C1T0_15,62,0.276,Control,Start,Control Start
C1T0,C1T0_15,101,0.449,Control,Start,Control Start
C1T0,C1T0_15,50,0.222,Control,Start,Control Start
C1T0,C1T0_15,126,0.56,Control,Start,Control Start
C1T0,C1T0_15,23,0.102,Control,Start,Control Start
C1T0,C1T0_15,477,2.12,Control,Start,Control Start
C1T0,C1T0_15,33,0.147,Control,Start,Control Start
C1T0,C1T0_15,18,0.08,Control,Start,Control Start
C1T0,C1T0_15,242,1.076,Control,Start,Control Start
C1T0,C1T0_15,81,0.36,Control,Start,Control Start
C1T0,C1T0_15,76,0.338,Control,Start,Control Start
C1T0,C1T0_15,349,1.551,Control,Start,Control Start
C1T0,C1T0_15,10,0.044,Control,Start,Control Start
C1T0,C1T0_15,49,0.218,Control,Start,Control Start
C1T0,C1T0_15,38,0.169,Control,Start,Control Start
C1T0,C1T0_15,41,0.182,Control,Start,Control Start
C1T0,C1T0_15,54,0.24,Control,Start,Control Start
C1T0,C1T0_15,85,0.378,Control,Start,Control Start
C1T0,C1T0_15,183,0.813,Control,Start,Control Start
C1T0,C1T0_15,429,1.907,Control,Start,Control Start
C1T0,C1T0_15,10,0.044,Control,Start,Control Start
C1T0,C1T0_15,83,0.369,Control,Start,Control Start
C1T0,C1T0_15,22,0.098,Control,Start,Control Start
C1T0,C1T0_15,227,1.009,Control,Start,Control Start
C1T0,C1T0_15,11,0.049,Control,Start,Control Start
C1T0,C1T0_15,223,0.991,Control,Start,Control Start
C1T0,C1T0_15,13,0.058,Control,Start,Control Start
C1T0,C1T0_15,12,0.053,Control,Start,Control Start
C1T0,C1T0_15,327,1.453,Control,Start,Control Start
C1T0,C1T0_15,61,0.271,Control,Start,Control Start
C1T0,C1T0_15,16,0.071,Control,Start,Control Start
C1T0,C1T0_15,176,0.782,Control,Start,Control Start
C1T0,C1T0_15,41,0.182,Control,Start,Control Start
C1T0,C1T0_15,575,2.556,Control,Start,Control Start
C1T0,C1T0_15,46,0.204,Control,Start,Control Start
C1T0,C1T0_15,11,0.049,Control,Start,Control Start
C1T0,C1T0_15,71,0.316,Control,Start,Control Start
C1T0,C1T0_15,155,0.689,Control,Start,Control Start
C1T0,C1T0_15,55,0.244,Control,Start,Control Start
C1T0,C1T0_15,61,0.271,Control,Start,Control Start
C1T0,C1T0_15,11,0.049,Control,Start,Control Start
C1T0,C1T0_15,13,0.058,Control,Start,Control Start
C1T0,C1T0_15,170,0.756,Control,Start,Control Start
C1T0,C1T0_15,46,0.204,Control,Start,Control Start
C1T0,C1T0_15,146,0.649,Control,Start,Control Start
C1T0,C1T0_15,73,0.324,Control,Start,Control Start
C1T0,C1T0_15,187,0.831,Control,Start,Control Start
C1T0,C1T0_15,24,0.107,Control,Start,Control Start
C1T0,C1T0_15,51,0.227,Control,Start,Control Start
C1T0,C1T0_15,75,0.333,Control,Start,Control Start
C1T0,C1T0_15,58,0.258,Control,Start,Control Start
C1T0,C1T0_15,53,0.236,Control,Start,Control Start
C1T0,C1T0_15,110,0.489,Control,Start,Control Start
C1T0,C1T0_15,114,0.507,Control,Start,Control Start
C1T0,C1T0_15,59,0.262,Control,Start,Control Start
C1T0,C1T0_15,441,1.96,Control,Start,Control Start
C1T0,C1T0_15,98,0.436,Control,Start,Control Start
C1T0,C1T0_15,25,0.111,Control,Start,Control Start
C1T0,C1T0_15,81,0.36,Control,Start,Control Start
C1T0,C1T0_15,31,0.138,Control,Start,Control Start
C1T0,C1T0_15,52,0.231,Control,Start,Control Start
C1T0,C1T0_15,61,0.271,Control,Start,Control Start
C1T0,C1T0_15,48,0.213,Control,Start,Control Start
C1T0,C1T0_15,71,0.316,Control,Start,Control Start
C1T0,C1T0_15,47,0.209,Control,Start,Control Start
C1T0,C1T0_15,69,0.307,Control,Start,Control Start
C1T0,C1T0_15,170,0.756,Control,Start,Control Start
C1T0,C1T0_15,29,0.129,Control,Start,Control Start
C1T0,C1T0_15,10,0.044,Control,Start,Control Start
C1T0,C1T0_14,27,0.12,Control,Start,Control Start
C1T0,C1T0_14,180,0.8,Control,Start,Control Start
C1T0,C1T0_14,33,0.147,Control,Start,Control Start
C1T0,C1T0_14,41,0.182,Control,Start,Control Start
C1T0,C1T0_14,358,1.591,Control,Start,Control Start
C1T0,C1T0_14,91,0.404,Control,Start,Control Start
C1T0,C1T0_14,12,0.053,Control,Start,Control Start
C1T0,C1T0_14,22,0.098,Control,Start,Control Start
C1T0,C1T0_14,85,0.378,Control,Start,Control Start
C1T0,C1T0_14,89,0.396,Control,Start,Control Start
C1T0,C1T0_14,132,0.587,Control,Start,Control Start
C1T0,C1T0_14,91,0.404,Control,Start,Control Start
C1T0,C1T0_14,44,0.196,Control,Start,Control Start
C1T0,C1T0_14,52,0.231,Control,Start,Control Start
C1T0,C1T0_14,153,0.68,Control,Start,Control Start
C1T0,C1T0_14,14,0.062,Control,Start,Control Start
C1T0,C1T0_14,165,0.733,Control,Start,Control Start
C1T0,C1T0_14,65,0.289,Control,Start,Control Start
C1T0,C1T0_14,58,0.258,Control,Start,Control Start
C1T0,C1T0_14,26,0.116,Control,Start,Control Start
C1T0,C1T0_14,90,0.4,Control,Start,Control Start
C1T0,C1T0_14,140,0.622,Control,Start,Control Start
C1T0,C1T0_14,36,0.16,Control,Start,Control Start
C1T0,C1T0_14,48,0.213,Control,Start,Control Start
C1T0,C1T0_14,29,0.129,Control,Start,Control Start
C1T0,C1T0_14,55,0.244,Control,Start,Control Start
